Cliente_Inativo,Sexo,Aposentado,Casado,Dependentes,Meses_Contrato,Assinatura_Telefone,Assinatura_MultiTelefone,Assinatura_Internet,Assinatura_Seguro_online,Assinatura_Backup,Assinatura_Seguro_dispositivo,Assinatura_Suporte_tecnico,Assinatura_TV,Assinatura_Filmes,Tipo_Contrato,Fatura_Online,Forma_Pagamento,Valor_Mensal,Valor_Diario,Valor_Anual
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,65.6,2.1866666666666665,593.3
0,1,0,1,1,9,0,1,0,0,1,0,1,1,1,1,1,0,59.9,1.9966666666666666,542.4
1,1,0,1,1,4,0,0,1,0,1,1,1,1,0,1,0,1,73.9,2.4633333333333334,280.85
1,1,1,0,1,13,0,0,1,0,0,1,1,0,1,1,0,1,98.0,3.2666666666666666,1237.85
1,0,1,0,1,3,0,0,1,0,1,0,0,0,0,1,0,0,83.9,2.796666666666667,267.4
0,0,0,1,0,9,0,0,0,0,1,0,0,0,1,1,0,2,69.4,2.3133333333333335,571.45
0,0,1,0,1,71,0,0,1,1,0,1,0,0,1,2,0,3,109.7,3.6566666666666667,7904.25
0,1,0,0,1,63,0,1,1,1,1,0,0,1,0,2,0,2,84.65,2.8216666666666668,5377.8
0,0,1,1,1,7,0,0,0,1,1,0,1,1,0,1,0,1,48.2,1.6066666666666667,340.35
0,0,0,0,0,65,0,1,0,1,0,1,0,0,1,2,0,0,90.45,3.015,5957.9
0,1,0,1,1,54,1,2,0,1,1,0,0,0,0,2,1,2,45.2,1.5066666666666668,2460.55
0,0,0,0,0,72,0,1,1,1,0,1,0,0,1,2,0,2,116.8,3.893333333333333,8456.75
0,0,0,0,1,5,0,0,1,0,1,0,1,1,0,1,0,1,68.95,2.2983333333333333,351.5
0,0,0,1,1,72,0,1,1,1,0,1,1,0,0,2,0,3,101.3,3.3766666666666665,7261.25
0,0,0,1,1,56,1,2,0,1,0,1,0,1,0,2,1,3,45.05,1.5016666666666665,2560.1
